,comment,rating
0,This is a great refurbished phone,5.0
1,Shipping was fast and it works great. Just perfect. 🥰,5.0
2,"The left speaker of the cell phone is defective, only the right can be heard",1.0
3,Exactly what it said it was. Very impressed,5.0
4,"After 3 months the screen would go black while I was using it, rendering it impossible to push prompts, (I was calling a doctor’s office and couldn’t push any numbers)I couldn’t hang up, shut it down, nothing.  I would hear text messages coming through, but couldn’t see them.  Eventually when the other party disconnected, I could use the phone again.  It didn’t do this all the time, but it did  it more and more often.  If I was on the phone wrapping up a conversation, I had to make sure they hung up, otherwise, my phone would stay connected with them until they realized it.  When I contacted customer service, I was told to take the phone to be repaired.  The whole reason I buy refurbished phones is because I can’t be without one- I use it for business, and I don’t care to be under contract.  They usually last about 2-3 years before I somehow break them, or just want something a little newer.  So, now this one sits in a drawer and I bought one from someone else cheaper, and have had zero issues.I wasn’t upset about the glitch, it’s the risk you take…  however, I will never buy from this seller again because of their terrible customer service…  or lack there of.",1.0
5,Great customer service for issue with the cord. Thank u. We love the new phone Looks brand new,5.0
6,"I was super happy with the product. Great price,looks prefect. It was a birthday gift for my daughter and she loves it, so I’m happy. But more happy with the customer service. I ordered a little late and it was going across the U.S and wasn’t going to make it for her b-day. I contacted the customer service. Told them my problem, they took care of it and the package arrived 2 days early. So I thank you for and all around great deal.",5.0
7,"Great packaging great phone only problem was transferring my phone number , no scratches,comes with screen protector. 10/10 over all",5.0
8,Bought this for my daughter. Has been working wonderful. Perfect gift for a teenager.,5.0
9,The media could not be loaded.,5.0
10,"I ordered this phone after my last one broke. The last few I've bought have all been secondhand. The phone came with a few scratches from all angles, none of which caused any significant issues. The one weird thing is that the charger they sent with it was full of some yellow gunk. I wiped it off and plugged in my phone. Within 5 minutes, I went to pick up my phone, and the charger was burning hot. I threw it away and bought a new one. Overall it's worth the price, but don't expect perfection, its quite evidently a used phone that's been scuffed up. Also, it comes with something other than the original packing, charger or headphones. The phone came at an 82% battery life.",4.0
11,This device came in a like new condition and everything worked well with it,5.0
12,nan,1.0
13,Product works as designed. Almost perfect condition! Very pleased with it.,5.0
14,"I got this product for my dad, I am surprised when I got this! It worth the price I paid. Recommend it to other people.",5.0
15,"I have bought two phones from here and both crashed within 6 months. Face ID doesn't work, battery life lasts about an hour, the list goes on.",1.0
16,N/a,5.0
17,Unusable as sent.,1.0
18,"The product came brand new, would definitely buy again👌",5.0
19,Came with a few minor scratches but overall it’s a pretty good phone.,4.0
20,Disappointed as I didn’t realize Amazon sources renewal of phones to third party resellers. The phone arrives but could not be activated due to the phone being locked by pervious owner phone carrier. Seems like table stakes that the reseller would send a fully unlocked and ready to go phone.,1.0
21,I wanted to upgrade the iPhone 8 that I had to the 11th version since the former was way to small for me and was too slow. I can say that it runs much better and is much better in terms of technicalities.,5.0
22,Too much scratches. Battery 94%. Upper and down speakers are not working properly. Phone is dirty. I have to bring it to the service,1.0
23,:-/,5.0
24,the phone came in perfect condition and the quality is also perfect,5.0
25,This phone is great it works like new!,5.0
26,It was as if new. Well taken care of.,5.0
27,THIS I PHONE 11 WAS BLOCKED!!!!! MOST LIKELY A STOLEN PHONE!!!!!!!,1.0
28,It’s a telephone it works perfectly and everything was perfect in the process of buying and using. Thank you very much.,5.0
29,"The phone was in great condition and works well. Battery life not peak, but it will not need replacing for some time. We are very happy with the purchase.",5.0
30,"As soon as I got the phone set up, I checked the battery health. Not even close to ""like new."" Sending back the phone.",1.0
31,Received the phone. I guess for it being refurbished it’s okay? Just A LOT of scratches all over the screen and chips on the back. I’ve bought refurbished phones before and this one is probably the most damaged refurbished phone I’ve ever received. I’ll still use it. Just had my hopes up a little bit.,3.0
32,Sound is not clear,4.0
33,"I bought this and I Couldn’t even get her through creating an Apple ID to start the phone. The keyboard was damaged and would click everything but the letter you want, the battery came with no battery at all and max charge was 27% I don’t even know how someone would even try to sell this and mark it as EXCELLENT CONDITION false advertising and so disappointing this isn’t fair when your spending almost 400$.",1.0
34,"Like new. Battery a bit low, 82%. Should last a while before we need a new battery. All and all, very good.",5.0
35,"In the description it said excellent but it had many signs of use, 100% functional but not in excellent physical condition.",3.0
36,Llego muy temprano,5.0
37,Phone is perfect,5.0
38,Good,5.0
39,Got this used iPhone 11 for my son. Battery charges great. Phone works just as expected. I would definitely buy from this company again.,5.0
