,comment,rating
0,Very nice,5.0
1,"You can barely hear music playing or watching videos. Can barely hear when calling someone. After updated, the touch screen would not work, had to soft restart. Phone does not charge either. I’m going to have phone looked at and hopefully these issues can be resolved. I won’t buy another phone online again. Very disappointed.",2.0
2,"I like everything about it, but could have used a manual of some sort.",5.0
3,Phone is asking for password so it wasn't factory reset or unlocked,1.0
4,My touch screen glitches out and doesn’t work. Battery sucks a little bit but definitely still worth the money!,5.0
5,I was definitely sent a phone in “good” condition when I paid for “excellent”.  I could have saved $50. It has several chips out of the blue frame surrounding the screen esisly seen from a couple feet away. Also has chips near charging port and atound camera benzels. Very irritating to be taken advantage like that.  Quality control must be non existent.,3.0
6,"I was hesitant at first but after recieving this I was shocked! I wanted to upgrade from the iPhone 11 mainly because of the better design the 12 holds. When it arrived, it looked brand new, it was easy to set up, it came with a charger, and it came with a SIM remover. I totally reccomend this phone for anyone who needs a budget upgrade.PS: if you are scared of the phone being bad quality, just get the official one from apple.",5.0
7,The phone is for everyday use. Battery life much better than my old phone,3.0
8,So far it’s good. If anything changes any time soon I will update this review.,4.0
9,"The battery on the iPhone 12 mini received was at 80%, not above. Everything works fine (so far) so I decided to keep it since Amazon makes it very difficult to return this item, whether you are Prime or not.You would have to be home waiting for UPS to pick this item. And then wait 30 days for a refund. You'd need a back-up to go thru a return process.",3.0
10,Love it,5.0
11,Good,5.0
12,I loved this I needed a new phone and the battery life is amazing I’ll charge it at 10% and then 5 minutes go by and it’s up to 40% it’s amazing and the charge last forever and the touchscreen is amazing works so well ! Highly recommend,5.0
13,Paid $400 to Hybrid IT for 6 months of use. The touch screen is completely unresponsive and the seller has not responded to 2 emails nor 2 attempts at phone calls. The mailbox is full and they haven’t responded to an sms message. I’m lucky I kept my iPhone 6 so I could reinstall my SIM card! Do not buy from this seller.,1.0
14,"I kept trying back market and other Amazon resellers, but kept receiving sub par phones. Finally received one from this seller near perfect 100% battery thank you",5.0
15,This phone doesn’t have voice recognition.  What I mean is you need to use the speaker to listen and speak.,5.0
16,The definition of renewed is restored as new.  81% maximum capacity of original battery is not new.  Amazon's definition & criteria at 80% of battery health and that of all English speaking dictionaries are remarkably different and potentially fraudulently so.,1.0
17,The media could not be loaded.                 Not recommended,1.0
18,"Something went wrong with the battery I had to take it to apple and get a whole knew one , I mean I guess it was fine up until the last update Then it wouldn’t charge any more..🚫🚷🥲",1.0
19,"The battery at 86 still good n everything works rlly good 100% recommed, at first i was scared cuz they were bad reviews and good ones too but it was rlly good and i didnt expect it to be tiny . Also mine came with a sceen protecter . And no scatches or nothinggg i like it smmm !!",5.0
20,"Reasonable price, excellent product, brand new battery and immaculately kept, I would absolutely buy this again. Better than new! 10/10",5.0
21,The media could not be loaded.                 This iphone is in bad conditions “No renewed this a used iphon in grade C conditions”.,1.0
22,"Since the day I received it.. I thought they was strange activity going on but sure enough.. right after my warranty was over, the full hack attack came on strong! I believe they embedded back door coding or something to allow access cause my identity is currently in the process of getting all Phuket up!",1.0
23,"I love this phone it has no scratches, no broken pieces and everything works well!! I would really recommend to buy.",5.0
24,Super love,5.0
25,The face recognition and battery life is very good and well,3.0
26,"Ordered an “excellent condition” iPhone. Obvisouly Amazon sources from various resellers, so not all are like this - but this is the quality Amazon will approve as “excellent”.- the front glass is horribly glued on, and the glass is clearly from a blue variation as blue tint plagues edging.- while I ordered a blue iPhone, the one I received was black.- seller told me to wait longer and upon receiving this incorrect one, they would then send the correct color- overheats with just sending a couple of messages- screen entirely glitched out after 5 minutes use. Tried force restarting but didn’t resolve it; I guess the result of a bad glue job on a bad refurbished product by a sub-par reseller.- rear-cameras all crusty and poorly glued. Probably used an arts and crafts hot glue gun (pictures in review after wiping down the camera unit with microfiber from any debris)",1.0
27,"The media could not be loaded.                 This one doesn’t have at least the actual box ,",1.0
28,The phone came with a low battery health and there’s damage and scratches all over the device,3.0
29,"This phone has more than impressed me. Battery charges to 100%, and it looks and performs like new.",5.0
30,"Got this for my daughter, she loves it ❤️",5.0
31,The order delivered was incomplete. The adapter/charger was not in the box.,3.0
32,"The touchscreen does not work, and the screen doesn’t stay lit consistently. It constantly flickers and changes colors.",1.0
33,Very happy with the iPhone and the customer servive. I highly recommend doing businiess with them and I will be again in the future. Thank you!!,5.0
34,Battery was supposed to be 80% or better. This one was at 72% health. False advertising. For price I would expect at least no dents and 80% health.,1.0
35,I bought this for my daughter and it works beautifully and she loves itNo issues with phone at allPristine condition,5.0
36,Bought the phone and tried to connect my service to it and was being told it was still locked to sprint ( bought it cause it was “completely unlocked” ) and then I try to unlock it from sprint and I get told that the phone still needs to be paid off under them like word.,1.0
37,Works great,5.0
38,Got this item and was super excited. Except for the same day it arrived it stopped recognizing my face and I was unable to unlock it .I’m still waiting on my return it’s been more than 6 business days . I need my refund !,1.0
39,"Thank You so much for Your work guys , its already two years that Im buying phones from You and these are perfect with it’s price and condition. Highly recommended",5.0
40,"The phone said good condition, but it has trouble working says Apple technician.It won't fully charge because it gets too hot charging.It came with sides bashed up like it was dropped three times with three dentes sides.",1.0
41,Its a good small phone still using it til this day 👌,5.0
42,works as described,5.0
43,Love this phone worth the price,5.0
44,My daughter is VERY happy with her phone. I'm very happy about the price!,5.0
45,"My first Apple phone, and everything is going great.Seems brand new, 100% battery, and so far, setting up is easy.Thanks",5.0
46,I can use this phone with one hand. Top left corner is a bit of a stretch but the smaller profile and lighter weight means I can also adjust my grip on the phone with one hand. Without all the social media apps the battery lasts all day. Even when watching movies or streaming live feeds the battery is still predictable and reasonable. I’m never scrambling to find a charger. I love this phone and plan on keeping it until I’m forced/able to upgrade into another iPhone of similar proportions,5.0
47,The media could not be loaded.                 Salió dañado por temperatura voy a devolverlo,1.0
48,A real bargain.,5.0
49,Broken parts. Unfortunately I could not return it since I gave it as a gift to my relative outside of USA. Looks like a catch,1.0
50,Great value!,5.0
51,Muy bueno. La batería me vino en 84% es lo único negativo pero el resto bien.,5.0
52,"My Iph12 mini arrived in perfect shape, the only issue was the battery which I had to replaced from a phone shop to avoid returning the phone . I spoke to GreenTech Refurbished, with proof of receipt, I received a credit of the amount I paid for the replacement battery plus tax!! I would definitely recommend them!!!",5.0
53,"I ordered my iPhone on 2/21/23, and have waited to write a review bc I wanted to test it first.  I was afraid to order a refurbished phone, but I'm glad I did.  The phone arrived on the day it was promised.  I expected an iPhone with some scratches and battery capacity between 80 and 95%.  What I got was an iPhone that looks brand new with no scratches or damage of any kind.  Battery capacity is 100%.  Needless to say, I was pleasantly surprised.  It is in excellent condition.  Although the phone is small, it fits well in my hands.  I put a Diaclara designed full body case on my iPhone.  It is clear and the back has glitter on it.  The case makes the iPhone look a wee bit larger.  So far the iPhone is working well.  Oh, I almost forgot.  It came with a charger and cable, and  it charges fast.",5.0
54,Better than described. Look as if brand new. No scratches on the screen and works perfectly. Battery holds a charge for long time. No complaints. Needed to replace my iPhone 7 that was completely shattered. So glad I got this. Great price and delivered earlier than estimate.Happy customer. Will purchase from them again.,5.0
55,"I absolutely love this phone,just got it a few hours ago, literally like new shape,very easy to set up,very fast delivery,very satisfied! Thank you",5.0
56,Package arrived in aftermarket box. The phone had a noticeable dent on the corner. The battery health is at 89% it’s depleting very fast it 95-80% in a hour. Overall not great but not bad enough to request a replacement,3.0
57,I purchased this phone for my son. It came exactly like how it looks. No scratches no problems at all practically brand new along with a charger that works very good. I definitely will be purchasing again in the future.😊,4.0
58,So far so good! No visible issues YET LOLBut overall happy with the purchase (-:Will check back in a couple days or weeks to give update,5.0
59,"Excelente producto, buen precio.",5.0
60,Anda todo bien!! Cómo nuevo!! Gracias,5.0
61,Product has scratches on one of the rings around the camera but overall works very well. Looks  brand new.,5.0
62,"The phone looks good, but the speaker doesn’t work properly. They sold me a phone with a blown speaker. So convenient because I really needed this phone.",2.0
63,I bought it from Trinidad. It’s packaged was damaged. Poor quality. It’s gonna cost me 500tt to return it and your company it’s gonna help . It’s only good for parts not use,1.0
64,"The phone is great, everything works out of the box. Battery charge was low and not an official charger. Battery health is an abysmal 83% considering the price paid for excellent quality. After further search, I found much better ""excellent quality"" battery health iphone 12 mini's on Ebay @ 90% or better, comparable $.The phone itself is in ""good condition"" quality as it's been knocked around some.",3.0
65,The media could not be loaded.                 Honestly I’m pretty shocked at how good this phone is. I don’t expect much when buying used but this phone doesn’t seem like it was used much in the past. Excellent phone. No flaws so far.,5.0
66,I would never have known this was a renewed phonePerfect,5.0
67,"La batería se acaba muy rápido, se recaliente y el partalente para música y llamadas no funciona ( suena distorsionada)",3.0
68,It arrived water damaged I had to pay 260 for it to get fixed face recognition doesn’t work I just ordered the front camera it’s very blury im not asking for refund just warning potential buyers,1.0
69,Works just as if it was brand new.,5.0
70,I just opened and switched over my phone service so I’ve yet to discover battery life ! Although I received my phone much quicker than I expected and it is in excellent condition! You’d never guess that it was a used phone ! I was also worried whether or not I’d have issues swapping the device and it was super simple ! I’m SO glad that I decided to make this purchase!,5.0
71,Came as shown. Great quality no issues and good condition was easy to use.,4.0
72,"The media could not be loaded.                 Phone was dead on arrival. The screen wouldn’t illuminate. I contacted support to have a replacement sent and they said they don’t do that. They just promoted me to return and then place a new order.Given my experience with greentech’s product and support, I’ll just return and be refunded. Disappointing on all fronts.",1.0
73,"Came in good condition, the battery was 86% capacity",5.0
74,Batería llegó al 84%,5.0
75,"conserved, good price and quality.",5.0
76,"Doesnt charge, speaker arrived dirty, and whenever i call someone they cannot hear me.",1.0
77,Would recommend,5.0
78,Battery health is at 83 percent already.  Will need go get a new battery soon.,4.0
79,"Really good conditions. I’m super satisfied with this product. I don’t rate 5 stars just because of the battery. However, all the rest if excellent!",4.0
80,"It got here quickly. My daughter loves it. No scratches, looks brand new.",5.0
81,Phone arrived dead but overall no problems looks brand new!,4.0
82,Phone works great in every way... except the battery. Day one of me owning the phone on arrival it had 70% battery maximum capacity. Most iphones I have owned needed to be used for 1-2 years before the battery gets that bad.,4.0
83,Exactly as they promissed: phone was in perfect conditions.,5.0
84,"Don’t buy one of these used phones, the phones could be reported stolen like mine and blacklisted from cellular service.",1.0
85,"The phone received is more than I expected for this price, good battery life (88%), almost no damage.",5.0
86,excelente estado todo bien,5.0
87,"Upon starting the phone I was alerted by apple that the battery had been replaced with a battery that was not from apple, basically a cheaper battery. Because of this the phone will not charge or show it’s charging at least. Says battery life 0% The phone freezes and shuts down every 2 minutes approximately. Will not stay connected to Bluetooth. I contacted Amazon and they WOULD NOT refund me until the device was received. Cool now I’m out $300 and a phone until Amazon receives this broken phone. Plus waited 10 days to receive the broke phone, so add another 10 days without a phone “if” the seller agrees to a replacement-per Amazon customer service. So much for Amazon renewed guarantee. Zero stars :p",1.0
88,"I am very happy with my new apple iPhone, not one scratch on it, looks perfectly new!! GREAT price.",5.0
89,All great with the cellphone,5.0
90,Llegó en Perfecto estado,5.0
91,I’m surprised how brand new this phone looks and seems. It works great and I saved money by buying refurbished!,5.0
92,after 8 months it stop to work apple support said it's the ram. Bad experience for an iphone.,1.0
93,"While I am completely satisfied with what I got, I was made anxious by the fact that there was little to no communication between me and the product stages. I was never told when it was processed, never received updates on location for the product and I paid two day shipping. While Amazon maintained the idea that it would be delivered on the 6th at 10pm, I was never told when it was even out for delivery! I was at college in the middle of class at 6:45pm when it was dropped off. I know and realize that they did complete the agreement of 2 day shipping but I ordered the phone at the end of February and they couldn’t process or ship it until the Friday BEFORE the deadline? Kinda ridiculous that I even paid two day at that point. I would ask for a refund but they fulfilled their contract with little time to spare, but it’s complete none the less.As for the phone: All in all, for a refurbished mini, I expected the battery life to be equal if not a little less than my current SE (2nd gen). I was right as it arrived with 86%. Not awful, what I’m used to. The phone works well and runs as smooth as I could have hoped. Set up between two iPhones is a breeze now and I highly recommend the direct transfer over the iCloud if you’re someone like me who has had Apple devices since 2011 (I don’t need to text my peers from high school or my ex boss…). The color purple was stunning and everything I wanted! No dings or dents in the body or on the screen. I have loved this phone since it came out as I have tiny hands and gripping this phone makes it feel like I have normal sized hands!To summarize: The phone is great, the processing and order fulfillment barely passed requirements with a lack of communication. For an expensive purchase, I expect to get updates as regularly as I do my weights I ordered.",3.0
94,"This phone being unlocked was a great purchase and fairly priced for being unlocked. I simply opened it up, had to do an update on the ISO and finally put the SIM card in and went about my day. I’m glad to have found this one",5.0
95,By far the best “ renewable phone” I have received from Amazon no screws loose no screen damage no nothing. If your looking for a phone that’s not going to break the bank but is in excellent shape like they say look no further! “ mint mini 12 iPhone “,5.0
96,"Will definitely look i to buying refurbished from amazon again. The phone was in very good condition with very mild signs of wear such as super light scuffs on the edge in a couple spots. But it works great, did it’s updates no issue. And works great so far. Excellent experience",5.0
97,Came in perfect condition happy with the purchase .,5.0
98,"For many reasons, it was time to retire my old phone, but I dragged my feet on getting a new one because they all seemed too big. I'm a relatively small person, and I wanted a phone that fit comfortably in my hand and in my pocket. This one does. All the features work great, and the battery life, while not as good as with a brand new phone, is still exponentially better than I had before.",5.0
99,"I bought this phone because my other phone was pretty much going out. And don’t get me wrong, this phone functions great, came packaged correctly, came with charger SIM card pin all that. The only complaint is that the battery dies so quickly! It’s very inconvenient between working at group homes, plus school, and kids that I have to stop and charge my phone through the day.",3.0
100,"I have to find how to place the lightning cable to charge the iPhone because it is damaged. I tried with other original lightning cables and neither works correctly, but these cables works fine with all of my other iPhones.",2.0
101,La bateria viene en mal estado,1.0
102,Phone arrived in time and is in the condition expected.,5.0
103,"Works really well, no lag and charging well. Zero cracks and no problem setting up at all with my existing number and iTunes account",5.0
104,"Got iphone 12 mini but when i turn it on, touch doesnt work",2.0
105,"The iPhone is perfect, exactly like shown in the announcement.",5.0
106,"The shipping on this was faster than I thought and I love this phone. I went from iPhone 11 to this and it is sooooo light it almost feels like a toy phone. It only had one issue which was the charger that came with it, the cord does not work for me. I do like the new e-sim option and I was able to switch phones without going to the store or purchasing a new SIM card. I am on metropcs and have no problems. Definitely recommend.",5.0
107,"Completamente funcional, envió express.",5.0
108,Battery came at 86% health. I understand they guarantee min of 80% health but Apple recommends to replace the battery at 86%,3.0
109,The phone was received in excellent condition.  It does not operate with more than one e-SIM number but it can be used with one E-SIM and a nano-SIM. I am altogether pleased with this purchase.,4.0
110,"So far so good, received 4 days before original “expected” date. The phone itself is in immaculate condition. It works great, and the battery life is decent (87%) but keep in mind it is a iPhone 12 mini. So it’s a couple generations behind. But still getting a bargains for your money. Only issue is since it’s so small it is a little hard getting used to. The keyboard being the main thing. Overall a great purchase so far!",5.0
111,"Device came perfectly,very few visible scratches on the screen protector but that’s no biggie,phone came with 85 battery capacity but the battery is not bad,with this phone everything works fast and snappy.would highly recommend for the price.",5.0
112,"The first phone I received had a 1"" crack on screen. The company let me return it (no charge to me) and sent me a very nice phone. Good company to deal with. Love the phone!",5.0
113,"I love it, it was easy to turn on and it works great. Awesome quality 🖤",5.0
114,"Ok everyone, I’ve used this phone for about a month now and I can say, no issues like new! Honestly, I’ll update if it craps out on me in some way but here’s the rundown on my experience so far:Shipping: arrived early!Packaging: looks cheesesy an questionable (label wise) but is safe. Phone arrived completely unscathed. Phone itself Looked absolutely brand new.Phone itself: OK here’s where I can was actually REALLY impressed, powered up the phone and battery……..100% whaaaat?!? Not expecting that in a “renewed” product but hot damn!!!Anyways whoever these dudes are, I think they’re safe to order from.",5.0
115,Phone came in wonderful condition. Better than I thoiught it would be for a used phone. Love it's compact size. What's not to like aboiut the OLED screen and 12 MP double camera. They pack a lot in a small package. One down side is a smaller battery but it last's me all day.,5.0
116,"Battery came with 100% health, phone has no noticeable scratches, there is one small chip at the top of the phone but that was to be expected. Overall satisfied and would recommend to others!",5.0
117,"I was worried about ordering while reading the reviews, but im very satisfied! No damages at all!! (Thats dust on the screen). I just wiped the phone down with alcohol & boom brand new. The package arrived in 3 days (3 days earlier than expected). It looks brand new & I couldn’t tell it’s ever been used. It came with a Type C charger (box not included). I had a XR before so I was thinking it would be hard to adjust to the size but it’s just slightly smaller ( I have small hands). The battery health is 86% which is cool because my XR is at 77% now. I had no problem transferring icloud data from my old phone, it took about 10 minutes tops. Also compatible with my T-mobile sim card so I’m happy😊.No complaints here. I don’t know what to say as far as the bad reviews but if you’re super worried about getting a bad phone I recommend just buying a new one to avoid any possible disappointment. In my case I was not left disappointed so do what you wish!",5.0
118,"The product was good, the quality of the battery too. It was in excellent conditions.",5.0
119,Purchased for my daughter. Sellers description on the specs are not accurate. That is my fault for not looking into the phone more before purchasing. Charger DOES NOT WORK!!  I also never knew it would be so difficult to find somewhere to purchase a phone case other than online!,3.0
120,"I bought the version described as unlocked. The phone I got was locked to Verizon. I returned it and got my money back. The condition of the phone was excellent, but unusable for me since it was incorrectly labelled as unlocked.",1.0
121,"I loved my order! my phone has a bit of scratches but its cool, also the battery life is 97% for acceptable condition? i thought that was amazing since all the reviews I saw were 80% or a bit higher, I love this phone so much, ill definitely buy my products from here :)",5.0
122,"Exactly as described, no issues!",5.0
123,I hate giant phones that I cant reach my thumb across so this one is perfect. Everything works great and it looks really nice. I could only find one imperfection on it which no one can really see. I am very happy with this purchase. The only thing I noticed was that it didnt seem to be cleaned that good and I had to clean a couple spots but for a refurbished phone you have to expect that a little. Lord knows ill have it dirty in no time anyways. I am very happy I went with this phone.,5.0
124,Excellent product. Worked with my Verizon Account just fine. Thanks,5.0
125,I give it a 4/5 only due to the volume decrease in conversation! Everything is amazing about this mini iPhone .,4.0
126,"Great phone! For being refurbished there’s not a mark on it to show it’s older.They back with Amazon returns.No SIM card but just went to the carrier and they popped in a new one, no questions asked.",5.0
127,I ordered my phone and to a surprise the speakers still had dirt in them. When I turned on the phone it also still had to be updated to the newest iOS and the battery capacity is only 84% which makes me wonder if they even changed the battery because my iPhone 8 that I have been using for a year and a half has the same capacity.,3.0
128,"Haven’t had it a month and a half and already charging issues, as well as functionality issues. Keeps doing very strange things you would expect from a roughly used older phone. Not sure the refurb was worth it.",2.0
