,comment,rating
0,The phone gets hot while FaceTiming after about 15 minutes and the battery life isn’t as good as the others. But it’s alright and gets the job at least half way done right. I just wish the battery life was better and the phone didn’t heat up so easily.,4.0
1,I bought the iPhone got it yesterday it was locked I’m so disappointed. When I order a unlocked iPhone. Never order online again for a phone,1.0
2,excellent!,5.0
3,My son is ◡̈⋆ⒽⒶⓅⓅⓎ😊.. Nice phone the shipping was amazing.  Good screen Battery good came with a good 🔋🔌 charger.,5.0
4,"I received the phone, inserted the SIM card and it was ready to go.  It looks brand new.  Very happy with this purchase.",5.0
5,"I ordered an “excellent” condition phone and the phone I received was grimy and had deep scratches in the screen. I wouldn’t consider it to be excellent condition, but the phone works.",3.0
6,This iPhone does not disappoint.,5.0
7,"I bought this knowing it was renewed.  So I expected some signs of wear etc...The good:The phone works great!  And I mean great.The battery life is top notch.The the phone was very clean and looked good right out of the box.The bad:I bought one at the top of the offered spectrum of choices.  Knowing that this was renewed I chose the option that had the claim of not visible damage to the screen.  Cases are always in use on any phone in the house so a scratch of wear on the back of the phone is of no concern at all.I was a little disappoint to see that there were 3 point-chips in the screen of the phone.  You can feel them with the tip of a fingernail.  It is actual missing glass from the surface of the phone screen.These ""chips"" are tiny. They really are.  But they are visible.  I put on a hardened glass screen protector hoping the sticky material would cover or obscure them.  It didn't.  Still visible.  But they are small enough that they are rarely an annoyance.To be fair even with these pin-point chips I am happy enough that I bought a second one for someone else.  But I felt it was necessary to say what I had gotten/observed.",5.0
8,nan,4.0
9,"Got the phone for travel and it's work great, The phone itself like new, everything supper nice. !",5.0
10,"Purchased two excellent condition 64gb. Both phones look brand new, both with batteries at 100% capacity. Both are up and running with no problems that I can see. Very satisfied!",5.0
11,"Ok so the iPhone I received was 9/10 cosmetically. The shipping was SUPER fast and I was so excited to receive this phone for my sons “reward” for doing so well in school after having a lot of trouble.There was barely any noticeable scratch or scuff on the phone itself. Like MAYBE 2-3It included a charger and block as well.Now… unfortunatelyThe badThe phone was stuck on SOS mode only. I tried rebooting, I tried airplane mode off and on, etc. This was unfortunate considering how well everything else went. However they accepted my request for a return and I’m waiting for them to receive the phone and then get my refund.I have bad luck, like almost always… so while this was an unexpected occurrence with the phone being unusable… I had an over all positive experience with the seller. If I wasn’t crunched for time to get the phone, I would have asked for a replacement.",4.0
12,"I bought this for my daughter's 10th birthday, it came fast and in wonderful condition. We've had no problems out of it and it's going on 3 months. It's a good phone and she wanted a iPhone so I looked up and down and to my surprise found this one on Amazon bought it because Amazon is a trusted website and I'm glad I did. Kid friendly and super easy to set up, phone came completely unlocked for any service so I popped in Sim card and set up the phone that was it. Another wonderful surprise it came with a fast long charger so she loves that.",5.0
13,"The equipment sold exceeded my expectations at the time of receiving it, the equipment is 10/10 and with respect to the battery at 100%. I would buy again with my eyes closed",5.0
14,"I’m using this phone right now writing this review and i love it it arrived with no scratches came like no i was skeptical because of reviews but I love this phone. It is a little smaller than I expected but this is one of the best phones I’ve had in a while it’s just as I imagined, and I am so happy with my purchase.",5.0
15,"I was just going to buy a reconditioned phone from a seller, but decided to opt for the Amazon renew as I'm an international buyer and I wanted a longer warranty with it, so paid the little extra to get that.  This phone is spotless, definitely over 90% battery health.  I can't find anything wrong with it.  It's a second phone that I use when long term vacationing in the US, therefore I didn't want to spend a lot of money on it in the same way that I would on my primary phone at home.  Very impressed, I would definitely recommend this as an option.",5.0
16,I have had my phone for 6 months and the battery last only a few hours after a full charge.,1.0
17,I could afford it amd make her happy!,5.0
18,Bought this phone as renewed.  It is just like new and have had no issues.  A great money saver,5.0
19,It’s great for everything I really recommend it I bought for a friend and he loves it!,5.0
20,Very nice phone. Battery life is good.,5.0
