,comment,rating
0,This is not the sellers fault I should say.  My S9 I was able to open from the screen button on the bottom of the screen even when it had a black screen. The S10 I can't do that.  The pin screen on the S9 you can put in the pin and that is it.  With the S10 you put in the pin and then have to click on OK.  These are little things but you don't expect to go backward with a newer phone.,3.0
1,"I ordered 2 unlocked Samsung S10's for my wife and myself.  As soon as we got them I transferred the Verizon eSim card from our old phones to the new phones, powered them up and we were in business again.  I downloaded the free app Smart Switch on both my old and new phone and I couldn't believe how easy it was to use that to transfer contacts and anything else I wanted from my old phone.We have had them a few days and they seem to be excellent renewed phones.  They don't seem to have had anything but light use at the most.  Around the camera on both of them you can see slight wear probably from being put in a pocket and taken out.  So far we are extremely happy with the purchase.  The screens are beautiful and they are excellent upgrades processor and hard drive wise for us.  We both previously had J3's from Walmart and were long overdue for upgrades.",5.0
2,"I was a bit worried about ordering renewed for the first time, but this change my whole perspective on things. My phone looks brand new. The only thing that was telling was that I could see my back glass was replaced at one point, but only because the Samsung emboss wasn't on it. But that's not something I am worried about. I have yet to find a single scratch on it otherwise. Its overall a huge step up from my last couple of phones. The battery life isn't super strong, but I am a heavier user on it, either way it still gets me through quite a few hours before needing a charge.The sellers I received it from are super responsive and answered any questions I had right away, and relieved any stresses I had.  Super satisfied with my purchase, and will definitely be recommending renewed phones, especially this one, to anyone looking for a phone.",5.0
3,"Received earlier than expected, great shape!!",5.0
4,New was awesome 👌,5.0
5,Gracias me agrado mi compra es exactamente lo que esperaba.,5.0
6,Do not buy this the SIM card reader does not work so I can’t even use it 135 $ to the trash,1.0
7,This phone had little to no refurbishing. It's an unusable phone that was badly damaged from the previous owner that they got it from. They put little to no time or money into fixing it to be resold as refurbished. This phone will make you genuinely scared to use it because of how the touch screen is unresponsive and has a mind of its own even when it's on a flat surfaced and not being touched. Even the speaker and back panel have major issues. This isn't worth your money even if it's at the discount of being refurbished. Paying a little more for a more reputable seller is the only way to go.,1.0
8,Just like new.  Better than the one I replaced.,5.0
9,"Compre 2 celulares, están en buen estado y funcionan. Solo uno llego un poco rayado pero es comprensible ya que es de renovado. Pero lo demás se encuentra en perfecto estado",5.0
10,"The screen is very weird to me. Its very unresponsive to swiping, and even some clicks click in the wrong spot.You can tell the digitizer was replaced or something but it is not functioning well. Considering returning it. Otherwise the phone looks great on the outside.",3.0
11,Everything came in really good condition. The charger that came with it was brand new too(was a plus) been using it for close to a month with no issues would buy again from the seller.,5.0
12,"The phone I received, it is difficult to find a scratch, it looks like new (see pictures) and everything works correctly, including the speakers, fast charging, wireless charging. It came updated with Android 12, which is the latest system update for this device. For the price, everything is perfect.",5.0
13,Battery took a whail to charge and was drained in no time.,5.0
14,Good,5.0
15,"Excelente vendedor, producto llega a tiempo y en las mismas condiciones descritas por el vendedor.",5.0
16,Battery not 3day but hey I'm getting the hang of it. It's worth the money it works well-designed manner.,4.0
17,Within 6 months of receiving the phone it started having issue. Overheating when charging. Water damage error coming up. Not charging at all. It is not worth the stress. I would recommend to stay clear of this added stress.,3.0
18,I got this phone for a gift and the person who get it they was very happy with it and they loved it so much I will get more soon,5.0
19,The phone is blacklisted it is stolen.,1.0
20,"Para su precio es un Dispositivo excelente, lo unico malo es que se calienta Bastante en algunas ocasiones pero en General esta muy bien. Recomendado 👍",4.0
21,Lo compre para mi familia en cuba y el teléfono si está bloqueado .,1.0
22,"I am little write the reviews. But this time, I will write a little bit for customer to know. The product is good but the outside shape is scratch on top on glass. It is not like a product described. Not look good outside.",3.0
23,"I was in dire need of a phone, ordered this one and I am please with it,  I thought it was a little bigger like my other phone S20 plus but it is a little smaller but getting use to it it was refurbished but in great shape!! And got it when I was promised!",5.0
24,"Works fine now, while it's still supported.",4.0
25,The phone was so great and good package and arrived on time,4.0
26,"I like the phone itself,  but I am frustrated with the fact that it does not make calls with AT&T 5g prepaid plan. I don't want to return it because I paid for it and I need a phone. I've taken it to the AT&T store and have called customer service and they haven't been able to figure it out. It can use data and text and I can make a call from a text and call app. I wish I could figure out the issue, it could be the plan I chose.",3.0
27,"it works perfectly, just like new",5.0
28,Looks like new,5.0
29,Llego en perfecto estado al sur de chile aproximadamente en dos semanas estoy muy feliz con su rendimiento no tiene ninguna raya nada que se pueda ver a simple vista y la camara un 10,5.0
30,Had issues at first and was upset with it but it just took a couple days for the phone to initiate an update everything works perfect now and I'm very happy with the purchase,5.0
31,I will purchase from this seller again! I wanted this phone for my Dad's birthday. I wanted a good phone but not too pricey. This phone was worth every penny....It looks brand new and came with a charger. The phone is now overseas with my Dad....he is soooo happy with it. I want to thank the seller for answering my  request and having the phone delivered a day before promised as I was flying out that day. The phone works amazingly well...FULLY UNLOCKED as promised. There were no scratches on the exterior of the phone and it worked like new. thank you again!.......A VERY HAPPY CUSTOMER,5.0
32,"Great deal! Came fully unlocked and in like new condition. Only thing to note I did have issues setting up my service thru total by Verizon, but I was able to fix that on my own by doing a factory restart.",5.0
33,Good,5.0
34,"Everything is working great,  BUT was not completely unlocked like it was stated.",3.0
35,"Came in a Amazon renewed box with a charger box and cable, and the phone itself in perfect condition. Not one scratch or crack in sight. The phone really was like new and in excellent condition",5.0
36,I have had the s10 for a week now. Phone came in great condition. Phone came quick and the screen has a hair line scratch but not noticeable at all. Battery seems ok. Will update later on. I'm happy with this phone,4.0
37,"muy buen celular, es muy rapido, mejor que las gamas medias del 2023",5.0
