,comment,rating
0,"Bad Bluetooth issues. Google A53 blue tooth issues and you'll see what I am talking about. Samsung won't do anything about it or acknowledge the problem do not recommend this phone to anyone unless you just use it for text, call, and taking some pictures.There also seems to be a general lag to the phone, if I hadn't broke. The screen on my Oneplus I would definitely prefer that 4 year old phone over a brand new A53.Also nit a fan of tye kayboard. See the messed up spelling? Yeah, that's why I don't care for the keyboard...",1.0
1,Perect new phone.  Battery life is amazing on this phone.  Still at 89% at 5 pm.  Old phone 9s plus about 40% with about same usage.  Charge time very fast.  Very happy so far.,5.0
2,"After using the phone for around 4 months:1. Phone slowing down2. Battery draining quickly3. To maintain acceptable phone response, you have to keep only limited number of apps.4. Phone behaves erratically . Sometimes screen will liteup when ringing and sometime it will not.",2.0
3,Worked fine for about a month.  After that you could watch it slowly lose its signal until it had no bars.  This required a reboot to reconnect to the carrier.  It got so bad that it eventually spent more time offline than on.  I can't even count how many calls I missed because it would disconnect from my phone service and I would not know until I looked at my phone.,1.0
4,"This phone should have been an excellent choice but for some reason it didn't work for me.  You name it I had the problem when it worked and that's the problem. The predecessor was a much better phone.  Perhaps being in a rural area was the problem but it practically never had service and when it did it rarely functioned as intended - dropped calls, voice goes in and out, I couldn't be heard, calls wouldn't go through, etc.  It was a hassle and a headache - returned.",2.0
5,"Great phone at low price.  The only thing it lacks that I am missing is the wireless charging, but this might actually be a good thing because it seems like the battery goes bad faster when wirelessly charging.  (I had several Galaxy S8 phones and the phones that were wirelessly charged had earlier battery failure.)",5.0
6,No me agrada el telefono porque cuando entra llamadas por messenger por whatsapp o normal no aparece quien me esta llamando solo vibra y no se quien me llama,2.0
7,"Like this phone when it works, BUT it consistently overheats and frequently loses Network connection. Mind you it is overheating in January & February. Uncomfortable to hold, even with case. Turned off Wifi & Blue Tooth when not used and shutdown unused services as recommended, still overheats. Typically have a single app active with occasional forays to text or phone. A phone that can't make calls is A REAL DISSAPOINTMENT.",1.0
8,"I like the android operating system, though there are some ""features"" on this unit I would prefer it didn't have. overall a decent communicator.",5.0
9,"My Note 20 was stolen. There wasn't anything I really liked so I figured I would go with a less expensive phone for now. I was happy with the phone but the memory concerned me. I transferred what I could from my tablet which was less than I had on my old phone.Without adding anything the memory was over half used up. I decided to upgrade to a phone with more memory. I had to go with more storage as well because the upgraded phones don't have sd card slots, which is silly.",4.0
10,No headphone jack.Poor battery life.Slow slow slow,1.0
