,comment,rating
0,Had to return and reorder the phone because it arrived with a scratch on the screen.,3.0
1,"Never been so disappointed in a phone. About 2 months after I bought it (so outside of the return window) I started having serious connection issues on voice calls. At first I thought it was cell service provider (nope), then thought it was my wifi possibly interfering. Nope. Then decided maybe a bad sim card? Nope.  Using my husband's phone (also a Samsung phone) we've been able to isolate each potential problem and to determine that it's just this phone. Not working in its primary capacity.  At a loss and not sure where to go from here.",1.0
2,Purchased used. It has been a wonderful reliable phone.  Love the operational ease.  My only complaint is that I must charge it EVERY day. It does however get me through most days.  Would definitely buy again!,5.0
3,"Looks and feels like new. Make sure you pick ""samsung refurbished"" as Samsung has very high standard for refurbishment.",5.0
4,"The phone is fine...that's JUST fine! Let me clarify, I'm not happy!  My former phone, a Samsung S8+ was much better, in every respect. My biggest complaint about this S21 is the ridiculously short battery life. Uses 30% in 3 hours! Absurd. I really dislike this new, supposedly wonderful upgrade. Gotta rethink Samsung.",2.0
5,"This was not a defective item, it is that all Samsung Amoled screens are like this. Very poor image quality, colors distorted - lots of pinking blueish tint like a bad LED tv. At only slight angle, colors get distorted even more. Apparently, AMOLED is way worse than real OLED screen, the active matrix really makes it bad looking. Surprising that Samsung makes these amoled screens not just for their own phones, but also for other brands as well. Returned this item, bought instead a phone with real OLED screen - the image quality on it is way better!",2.0
6,I love the phone but beware and know do not buy from Amazon as I received one with a faulty battery and they won't do anything to make it right!!!  Plus they really need to get support people who speak pure English.  So frustrated and disappointed in Amazon.,3.0
7,GoodGoodGood,4.0
8,I should never have bought this. Samsung forces stupid updates that remove or break features. It has no headphone jack. The battery life is mediocre. The only upside is that the screen is *almost* bright enough to read outside and the flashlight is ok. I should never have gone back to Samsung. I wish LG still existed.,3.0
9,work.,4.0
10,So far I have no complaints and binds with my car's bluetooth easily.  Pricey but worth it.,5.0
11,"Apparently, it is more important to invest in better cameras (pixels of data that are lost when your phone resizes the pic to email/facebook/insta) which requires more storage on your phone -- THAN providing an SSD slot for additional storage to store those larger (data size) pics.  Disappointing to say the least.",1.0
12,"This is a great option for anyone who wants a sound device but has a budget.Bought this for my mother as a Christmas present and she loves it. Camera is definetly good enough for a general user. And battery last all day for the her needs (basic browsing, texting, phone and video calls).",5.0
13,"BEWARE!  This product bought from Amazon seems to be preprogrammed with pop ups and advertisements.  Everytime I manage to get them turned off, the phone updates itself and they are back. Consequently, I will never buy an unlocked phone from Amazon again! I am getting rid of this annoying device",1.0
14,It has a glitch. I am not happy about it,3.0
15,"I did not receive a sim card, not very happy",1.0
16,"I upgraded to this phone from a LG Thin Q. I wanted a phone and I didn't want to spend tons of money because that's just ridiculous! The phone takes great pictures for me I take family photos etc. The fingerprint reader works great. Seems really fast to me. So far so good I've had the phone for about 4 months now. Holds a nice charge for the entire day sometimes even longer. I only plug it in when its under 15%. The phone does NOT come with a charger so I had to buy a SAMSUNG brand fast charger, any other didn't work to charge it fast. Color looks pretty although I just bought a silicone case to cover it- dropped the phone about 20-30x so far and its in perfect condition working great still.",4.0
17,Fake phone.,1.0
18,"Mi experiencia con este celular fue terrible!, el teléfono llegó bloqueado cuando se supone que indica es nuevo, el teléfono llego a otro país por lo cual se imposibilitó retornarlo, y los de servicio al cliente ineficientes no ayudaron en nada, tuve que buscar por otro lado para desbloquearlo pagando extra, pésimo servicio",1.0
19,"Great phone fast processor enough ram ,wish it had more storage though or at least a slot for a SD card",5.0
20,Got lavender- colour is quite good.Phone is lightweight and slim.I would prefer a better battery life.,4.0
21,"I ordered 2 of these a few weeks apart. One for me and one for someone else. The first one is working fine and has no issues. (So far) The second one (I received it in September 2022)  worked as should for 3 months. (It's always had a case and screen protector on. Never dropped it. Not damaged in any way.) In January 2023 the power button started acting up and acting wobbly until one day it just wouldn't work. So I took the case off and the power button just fell out. Thankfully the settings allowed me to activate the double tap feature to turn phone on and off. Sucks that I don't have a power button, but it's a work-around, right? That lasted a few weeks. Now the double tap only locks/turns phone off but will NOT turn the phone screen on. (I double checked settings to make sure it's still activated.) If I get a notification or a call - the screen turns on and then I'm able to unlock my phone, but double tapping no longer works. Obviously can't return it now; past the return date. Just sucks. I really think this is a defective phone, because the other one is still working without a problem.",1.0
22,"The media could not be loaded.                 So far I like everything, using with an international carrier would recommend getting this phone💚in the box it only came with a type c to c usb and a sim card ejectorThe camera quality is great everything is just perfect💚",5.0
23,Great phone,4.0
24,Had several problems wit it within first two weeks. Had to return it. Not worth it.,1.0
25,Good,5.0
26,"Phone, camera, texting",5.0
27,"I'm so in love with this phone.  Great performance, great pictures, easy to use. Not a bad price",5.0
28,Nice phone but fully charged battery doesn't last more than a day even for average user.,2.0
29,"Not even 1 year old and it now refuses to charge. Amazon says ""support window closed"" for $600 you don't even get 1 year. Avoid this one.",1.0
30,Love the features on the S21 EF. It was very easy to transition to using it from my old galaxy 8. Happy with the color. So far so good!,5.0
31,"Bought this phone thinking it would unlocked as it says it was ""Factory Unlocked"" it was not. Paid to get it unlocked and that did not work. Cannot return it due to the return period has pasted. What a crappy company having to mislead buyers!",1.0
32,I am busy now setting the phone up. When i am finished i will a next time,5.0
33,"I've had Samsung phones for many years and this is by far the most disappointing. I read many online reviews before purchasing this phone and expected to love it as much as I have all my previous Galaxy phones.On an almost daily basis, the phone fails to deliver a simple text. It has nothing to do with my location, as I work from home and I'm usually sitting in the same place in my home. I've never had this issue with any other phones.My online experience with this phone is terrible. It is very slow to load and respond. Same is true with many apps on my phone.The phone regularly freezes and I am unable to scroll or migrate away from the view to another open window. I also have often experienced the phone just shutting down an app while I am using it. I don't have a lot of extra apps on my phone and stick to the basic apps for bank, credit cards, Amazon and rideshare apps, nothing unusual.Fingerprint reader works for a while, then doesn't. I am only able to fix it by deleting my recognized prints and starting over.I regularly restart the phone trying to improve the performance. I am not high-tech by any stretch and my use of the phone is pretty basic. No reason a decent smart-phone would not be able to meet my needs.Pictures and videos are pretty good, which is the reason for 2 stars.",2.0
34,"Phone feels small in my hand compared to my other phone.However the battery life is good, last long even with multiple video calls.Works well.Charges quicklyEasy to navigate",5.0
35,This will come in handy.,5.0
36,This is the best product I've bought from Amazon ever great deal they gave me a great trade-in for my old phone works perfectly and I couldn't be happier,5.0
37,"We bought this phone in August of 2022 , have not even had this phone six month and it has stopped working. Will not call out, can call in. Will not connect to wifi. Text is the only thing that works.",1.0
38,"I decided to upgrade my Motorola phone with this Samsung, as everyone talks about how great Samsung is. I have had nothing but trouble since day one. It may do more complicated things well, I don't know, but it doesn't do the basics worth a darn.  Can't get the navigation voice to work, even went to a phone speciality store, and they couldn't get it to work correctly either. I am charging my old Motorola phone back up as I write this review.  It is all I can do to not take a hammer to this Samsung phone.  Too late to return it.  Worst purchase I have ever made in my life.",1.0
39,Although the  Product appears to be new the protective coatings were removed from the screen and the Box seal was  opened. If anything this product Is extremely excellent condition but maybe not new.,5.0
40,"I liked the size, speed and battery. Pictures quality was excellent. I couldn't see paying twice the amount that I paid for this phone. I'm very glad I purchased this phone and pleased with overall performance,",5.0
41,"Had a Redmi Note 9 Pro (235$) before I got the FE 5G and it's definitely a step down. Battery life on FE 5G is not as good as some claim (or I got a phone with a bad battery), I have location and other life draining apps turned off, brightness level at lowest, motion smoothness turned all the way down, power saver on, etc. Yet my battery drains pretty quickly. I could leave my Redmi uncharged for a couple days while binging YouTube. Camera is nothing special. I do like how customizable the phone is without having to download an app like Nova. Samsung keyboard is crisp and smooth. Dolby Atmos actually sounds pretty good, especially when gaming. Wish developer option had a bootloader. Lost two percent battery life typing this btw. All in all, I should have just stuck with the Redmi Note Pro phones; cheaper, faster, better battery life, bootloader friendly, better developer options, you get the 8gb of ram, excellent camera, and better graphics options. UNLESS you have Verizon, AT&T, Cricket, or Metro PCS. The phone will only work with GSM networks",3.0
42,"I am a bit biased because this phone is better than the other phones I've ever had, but it had great camera quality and a pretty good battery life. I'm pretty happy with it. I bought during Cyber Monday and got a good deal. If it's not urgent, never buy electronics until Cyber Monday/Black Friday!",5.0
43,Terrible battery and user interface. Just buy a proper phone as this is a miserable excuse for one.,3.0
44,"I have always had Moto phones but decided to try a Samsung, mostly because of the 30x camera.The phone is awesome, lightning fast connection to web sites, and I am in a 4g areaThe updates that I have received really make it seem like I got a new phone each time.But, the best thing is the 30x zoom. It's a digital zoom which of course doesn't give the best detail.  I have taken unbelievable pictures of the moon. The detail is wonderful and like if you had a telescope.  It may not be sharp but you cabin still see amazing detail.The only negative thing about the phone is battery life. It needs recharged daily but I do use it all day.Over all, it's the best camera ever.  I love the camera and the beautiful pictures it is capable of taking!",5.0
45,Excelente todo funciona bien la batería dura casi todo el día,5.0
46,"This should be a class action lawsuit.  The Bluetooth and wifi never worked.  I spent over 20 hour on customer support and took it into several Samsung approved repair shops to get fixed, they said it was a warranty issue.  They won't send a loaner phone and keep passing the buck to verizon.  When I sent the phone in they said the warranty was void cause the phone had a bend in it.  I never had a bend in the phone.  The phone was in excellent condition, like new.  I had to scrap it.  NEVER BUYING A SAMSUNG PRODUCT AGAIN.",1.0
47,Just good phone for personal use,5.0
