,comment,rating
0,Great ohone for the price,5.0
1,"The speakers suck. Turning it up as high as it goes, I can barely hear when on speaker, it also sound like it's cracking up. Very bad audio. The battery life is minimal, even without used, must charge atleast 2 twice daily.Fingerprint reader, work sometime.Amazon customer service is the worst and back and front is time consuming and draining.Beautiful picture and phone.",2.0
2,🤑🤑,4.0
3,About this phone a year ago and up until about a week ago it worked quite well with some features that I really like such as the Bluetooth that I can link up to five devices with etc. The problem is since the phone made me do an update to Android 12 I am no longer able to connect to any kind of internet unless I am on Wi-Fi and there is no patch no update and no way to contact the company to let them know that they're update is massively broken and needs to either be undone or patch so that phones can actually connect to 4G and 5G network connections. It's a real shame too because I really like this phone and it works really well for my uses and it's just impossible for me to use especially for work since I have to have my phone for my job and I can't connect to the internet unless I have Wi-Fi which many a times I don't have access to. If they will fix this problem I will be more than happy to reevaluate the rating on this phone.,2.0
4,"Bought in February 2022, 13 months later, mobile data stopped working.  Tried to reset network settings and factory reset the phone, but still didn't work. What a garbage phone.",1.0
5,front corner hit the floor and the whole case shattered to pieces.. not even had it 1year.,2.0
6,i originally owned a Poco X3 Pro.. but due to it being a international unlocked phone.. it didnt work very well with Mint Mobile (T-Mobile).. i blamed Mint Mobile first.. but soon realized it was the phone.. did some searching and at the time the TCL was on sale.. it had decent reviews and the specs were pretty good for the price..  works great out of the box with Mint Mobile.. and have been happy with the phone ever since.. all aspects work well on the phone.. if i had any gripes at all it would be the lack of audio customization for music.. no EQ or sound adjustments.. havent had any crashes or other issues some other owners have had.. i actually bought a second one recently for my wife.. thats how impressed i am with the phone.. maybe i got lucky.. actually today (March 17th 2023) the phone did an update to Android 12.. and messing with it after the update.. it seems to be even better.. win/win.. i would highly recommend this phone to anyone wanting a decently spec'd out phone for a really good price.. no regrets..,5.0
7,"I purchased this phone in November of 2021. As of this writing, March 2023 (14 months later), the battery's capacity is at 50% of its original capacity. The 5G feature did not work with T-Mobile to any discernible degree, and reception around town was very spotty. I got two bars strength at best, and mostly 4G reception. This was in a city with good T-Mobile tower presence, as you're probably wondering. The phone does have vivid colors, screen sharpness, and a very good camera, and the screen speed was very snappy. The fingerprint sensor works quite well, and there is ample resident memory capacity, which is great. Still, I need a phone that will take advantage of T-Mobile's 5G towers, and one that will charge a bit faster and have a longer lasting battery. I'm looking forward to receiving a One Plus Nord N20 as its replacement. Fingers crossed.",3.0
8,"I purchased 2 of these phones and absolutely love them! Having issues connecting them to Boost Mobile service, but hoping once their system is back up that will no longer be a problem!",5.0
9,Very disappointed after sending this phone back to my sister overseas never have my peace.my sister keep complaining every single day freezing and automatically shutting down,1.0
10,"I'm on my phone all day. All day. I put this thing through the wringer with office apps, video calls, video and camera usage, games, you name it.I did not think that, at this price, I'd be getting such a great phone. The camera is awesome. I mean really good. The stabilization, which is good because I have tremors, is outstanding. You can barely tell at all that I shake unless it's really bad. The display is sharp. The colors, contrast, it just looks fantastic with its NXTVision. And it runs just as good as the Samsung I just needed to replace - and THAT is what sells this for me. I just can't tell the difference between this and a huge brand phone. At this price? That's priceless.",5.0
11,nan,5.0
12,Open box on new item keyboard need several touches to respond,3.0
13,"I am the first time buyer on TCL cell phone, before that, I am the happy customer for their TV product.Have been using this phone for almost half year, I can honestly say it is a really good phone for the money. This phone has all the features that $900 dollar phone has. Good photo quality, nice battery life for whole day watching youtube video.  large storage by default. it haven't suddenly shut on me in my six month used. No a broken screen after dropping on the hardwood floor couple times .The only con for me is the curve edge, I have a big hand and the screen get touched a lot of times. I hope they can change it in the future release.",5.0
14,I'm Loving the phone so far. Was disappointed it doesn't work with visible but it all worked out because it does work with Qlink. Only complaint so far is battery.  It doesn't last as long as it says but it  charges super fast . But I do love the phone so far. Great for the money...,4.0
15,Good,3.0
16,"That phone is worster I have.  Finger print doesn't work, cutting off the calls, turning off by itself also face recognition don't work either.",1.0
17,Look wise it is a great phone . Some of the complaints I haveSoftware / Security patches never updated ( Promised for 3 year update )GPS has issue with loosing it proximity ( Might be issue with the processor )other aspects are good and worth the money,3.0
18,"I don't think these phone are brand new. I believe they are faulty phone that they fix and sell back as brand new. I've experienced alot of issues. Whenever I connect my AUX cord in the my vehicle, the phone volume buttons and everything just moving out of control. If I'm in YouTube, the phone will skip songs and go all over the place when the aux cord is plugged in. The camera is great. The phone looks good.",3.0
19,"I got the TCL pro20 as a Christmas gift from Amazon. To be totally honest I love everything about this phone!! It is by far the best phone I've ever owned!! Battery has great life. Camera and videos are high quality. The speaker works good. And I'm a gamer and this phone is wonderful in that area too. One thing I had a problem with though is when I put a screen protector on it it just doesn't fit right. Therefore I found myself having to tap the screen harder in order for it to work. No matter where I got the screen protector from, none worked. But who needs a screen protector, right??",5.0
20,"Phone is beautiful, and the fact I bought it on a lightning sale is frosting on the cake",5.0
21,"As a customer we hope that any phone can last at least 2 full years, not this one. Battery replacement is not found anyware also. I will not recommend this brand of phone celular to anyone.",1.0
